GEO_id,GEO_id2,GEO_displaylabel,NAICS_id,NAICS_display-label,YEAR_id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
E600000US3605578960,3605578960,"Webster village, New York",31-33,Manufacturing,2012,0,10,2,1128,D,D,1604,D,D,D,D,D
E600000US3605578971,3605578971,"Webster town (balance), New York",31-33,Manufacturing,2012,0,24,9,635,33168,402,902,20470,57722,119181,67394,8128
E600000US3605581402,3605581402,"Wheatland town, New York",31-33,Manufacturing,2012,5,11,4,780,34698,609,1169,20221,66195,126065,63438,D
E600000US3605702066,3605702066,"Amsterdam city, New York",31-33,Manufacturing,2012,1,38,10,1293,43613,859,1652,30501,165225,283027,118156,D
E600000US3605702077,3605702077,"Amsterdam town, New York",31-33,Manufacturing,2012,4,7,6,873,33496,544,1107,17867,139910,241040,99427,D
E600000US3605712122,3605712122,"Canajoharie town, New York",31-33,Manufacturing,2012,0,3,2,c,D,D,D,D,D,D,D,D
E600000US3605729047,3605729047,"Glen town, New York",31-33,Manufacturing,2012,0,7,3,279,12961,178,308,5211,24268,63919,39419,D
E600000US3605747614,3605747614,"Minden town, New York",31-33,Manufacturing,2012,9,4,0,8,224,5,D,D,760,1429,674,D
E600000US3605747834,3605747834,"Mohawk town, New York",31-33,Manufacturing,2012,2,7,4,f,D,D,D,D,D,D,D,D
E600000US3605764650,3605764650,"St. Johnsville town, New York",31-33,Manufacturing,2012,5,3,1,b,D,D,D,D,D,D,D,0
E600000US3605798057,3605798057,"Balance of Montgomery County, New York",31-33,Manufacturing,2012,0,3,1,b,D,D,D,D,D,D,D,D
E600000US3605913233,3605913233,"Cedarhurst village, New York",31-33,Manufacturing,2012,4,4,0,20,436,8,12,279,552,D,758,13
E600000US3605922876,3605922876,"East Rockaway village, New York",31-33,Manufacturing,2012,3,6,1,39,1544,29,40,944,3949,D,2384,D
E600000US3605925384,3605925384,"Farmingdale village, New York",31-33,Manufacturing,2012,4,12,2,154,7192,117,227,4972,9798,D,16135,D
E600000US3605926264,3605926264,"Floral Park village, New York",31-33,Manufacturing,2012,5,11,1,97,3944,46,83,1551,3877,11300,7432,D
E600000US3605927485,3605927485,"Freeport village, New York",31-33,Manufacturing,2012,3,77,23,1736,69537,1229,2290,38605,150583,324349,183043,D
E600000US3605928178,3605928178,"Garden City village, New York",31-33,Manufacturing,2012,6,17,3,175,7952,113,227,4483,16241,34791,18301,D
E600000US3605929113,3605929113,"Glen Cove city, New York",31-33,Manufacturing,2012,1,22,4,254,9624,180,381,5414,24448,D,26134,D
E600000US3605930169,3605930169,"Great Neck village, New York",31-33,Manufacturing,2012,0,6,0,19,583,13,21,421,1377,3001,1624,D
E600000US3605930213,3605930213,"Great Neck Plaza village, New York",31-33,Manufacturing,2012,9,10,1,65,3049,42,80,1954,3721,D,7709,D
E600000US3605933139,3605933139,"Hempstead village, New York",31-33,Manufacturing,2012,4,19,3,221,11044,150,274,5419,17519,D,25971,D
E600000US3605934000,3605934000,"Hempstead town (balance), New York",31-33,Manufacturing,2012,5,277,42,3256,153541,2159,4069,75057,305702,707695,401219,D
E600000US3605941553,3605941553,"Lawrence village, New York",31-33,Manufacturing,2012,7,6,0,56,2119,38,55,825,2432,7263,4831,D
E600000US3605943335,3605943335,"Long Beach city, New York",31-33,Manufacturing,2012,9,6,0,15,597,8,D,303,1381,2584,1203,12
E600000US3605943874,3605943874,"Lynbrook village, New York",31-33,Manufacturing,2012,9,23,0,112,5141,68,126,2448,6609,D,16231,D
E600000US3605944787,3605944787,"Malverne village, New York",31-33,Manufacturing,2012,3,5,1,30,597,23,19,389,856,2287,1431,D
E600000US3605945106,3605945106,"Manorhaven village, New York",31-33,Manufacturing,2012,8,9,0,31,1204,20,37,594,1346,D,2195,D
